nan,8.738571428571427546e+00,7.345714285714285197e+00,1.322000000000000419e+01,1.309999999999999964e+01,1.300956521739130878e+01,1.335956521739130842e+01,1.343260869565217419e+01,1.329086956521739182e+01,1.327120000000000033e+01,1.317319999999999958e+01,1.332346153846154024e+01,1.329076923076923045e+01,1.294592592592592695e+01,1.255482758620689943e+01,1.246379310344828006e+01,1.293666666666666742e+01,1.338903225806451225e+01,1.357129032258064605e+01,1.361129032258064164e+01,1.395363636363636317e+01,1.362666666666666693e+01,1.321705882352941153e+01,1.317470588235294215e+01,1.269352941176470395e+01,1.290878787878787826e+01,1.353823529411764781e+01,1.358147058823529107e+01,1.341333333333333222e+01,1.340235294117646880e+01,1.304909090909090885e+01,1.283600000000000563e+01,1.278727272727272535e+01,1.274000000000000199e+01,1.266413793103447993e+01,1.251199999999999690e+01,1.282392857142857245e+01,1.307892857142857501e+01,1.318999999999999773e+01,1.326759999999999984e+01,1.330884615384615088e+01,1.315680000000000049e+01,1.305913043478260960e+01,1.324636363636363789e+01,1.373000000000000398e+01,1.391000000000000369e+01,1.378047619047618966e+01,1.367999999999999616e+01,1.368545454545454731e+01,1.348857142857143110e+01
nan,1.116000000000000014e+01,1.307818181818181635e+01,1.396090909090909626e+01,1.404714285714285538e+01,1.407086956521739651e+01,1.444391304347826477e+01,1.456695652173913302e+01,1.484039999999999893e+01,1.460999999999999943e+01,1.480000000000000071e+01,1.430000000000000249e+01,1.443142857142857061e+01,1.436821428571428427e+01,1.462466666666667159e+01,1.467827586206896839e+01,1.467290322580645423e+01,1.453875000000000028e+01,1.457843749999999972e+01,1.462999999999999901e+01,1.457151515151515220e+01,1.455941176470588161e+01,1.452441176470588324e+01,1.470468750000000036e+01,1.468142857142857238e+01,1.469294117647059039e+01,1.463911764705882490e+01,1.465636363636363626e+01,1.440909090909090651e+01,1.457787878787878988e+01,1.454032258064515659e+01,1.429969696969697068e+01,1.432862068965517466e+01,1.452354838709676699e+01,1.454413793103448249e+01,1.426464285714285651e+01,1.416642857142857181e+01,1.464307692307692221e+01,1.431538461538461782e+01,1.434400000000000119e+01,1.456799999999999962e+01,1.476956521739130324e+01,1.486999999999999922e+01,1.495999999999999908e+01,1.449739130434782020e+01,1.446999999999999886e+01,1.460000000000000320e+01,1.472454545454545638e+01,1.474000000000000021e+01,1.435904761904761529e+01
nan,2.399999999999999467e+00,9.846000000000000085e+00,1.313954545454545375e+01,1.425333333333333563e+01,1.380000000000000071e+01,1.418416666666666437e+01,1.423000000000000398e+01,1.418208333333333293e+01,1.456499999999999950e+01,1.425583333333333336e+01,1.427519999999999811e+01,1.447749999999999559e+01,1.479153846153846175e+01,1.488599999999999746e+01,1.463928571428571423e+01,1.484333333333333549e+01,1.462354838709677196e+01,1.468062499999999915e+01,1.468999999999999950e+01,1.489218750000000036e+01,1.503242424242424136e+01,1.469000000000000128e+01,1.466352941176470459e+01,1.473911764705882099e+01,1.485911764705882376e+01,1.469000000000000128e+01,1.473705882352940932e+01,1.486454545454545695e+01,1.529499999999999993e+01,1.511124999999999829e+01,1.508935483870967076e+01,1.525151515151515014e+01,1.532032258064515950e+01,1.503137931034482833e+01,1.493299999999999628e+01,1.448357142857142854e+01,1.454071428571428548e+01,1.420423076923076700e+01,1.442000000000000171e+01,1.447599999999999909e+01,1.438319999999999865e+01,1.430391304347826420e+01,1.422739130434782240e+01,1.407826086956521827e+01,1.423181818181818059e+01,1.449181818181818215e+01,1.438400000000000389e+01,1.397000000000000242e+01,1.415000000000000036e+01
nan,1.093909090909090942e+01,1.098200000000000109e+01,1.424000000000000199e+01,1.448818181818181827e+01,1.402761904761904610e+01,1.397375000000000078e+01,1.407304347826086932e+01,1.434799999999999898e+01,1.459399999999999942e+01,1.434153846153846068e+01,1.435038461538461618e+01,1.448285714285714221e+01,1.450000000000000355e+01,1.448600000000000065e+01,1.453551724137931345e+01,1.461000000000000298e+01,1.462124999999999986e+01,1.446483870967741936e+01,1.470272727272727309e+01,1.482281250000000128e+01,1.466941176470588282e+01,1.485600000000000165e+01,1.451125000000000043e+01,1.469111111111111434e+01,1.483781250000000185e+01,1.438823529411764746e+01,1.448382352941176521e+01,1.459121212121212174e+01,1.444656249999999886e+01,1.440787878787878640e+01,1.439499999999999957e+01,1.450600000000000023e+01,1.422655172413793068e+01,1.410666666666666380e+01,1.394142857142857572e+01,1.434137931034482882e+01,1.441692307692307651e+01,1.432160000000000011e+01,1.425999999999999979e+01,1.448359999999999914e+01,1.474217391304347835e+01,1.467173913043477640e+01,1.430272727272726563e+01,1.452999999999999226e+01,1.468999999999999950e+01,1.477250000000000263e+01,1.483000000000000540e+01,1.470950000000000024e+01,1.447727272727272663e+01
nan,1.114857142857142946e+01,1.123190476190476161e+01,1.347000000000000242e+01,1.370954545454545048e+01,1.379714285714285715e+01,1.395999999999999908e+01,1.413857142857142968e+01,1.406599999999999895e+01,1.410249999999999915e+01,1.420961538461538609e+01,1.436960000000000015e+01,1.459703703703703681e+01,1.456888888888888722e+01,1.463142857142857522e+01,1.470633333333333148e+01,1.466793103448276092e+01,1.448516129032257638e+01,1.495354838709677026e+01,1.462624999999999886e+01,1.492303030303030198e+01,1.482411764705882717e+01,1.518312500000000043e+01,1.459823529411764653e+01,1.491794117647059181e+01,1.485685714285714276e+01,1.483852941176470530e+01,1.490823529411764881e+01,1.528500000000000014e+01,1.604545454545454319e+01,1.547235294117647264e+01,1.502290322580645032e+01,1.519531250000000000e+01,1.486200000000000010e+01,1.491806451612903572e+01,1.434857142857143231e+01,1.431931034482758314e+01,1.473214285714285943e+01,1.462679999999999758e+01,1.428923076923076785e+01,1.429153846153846352e+01,1.427250000000000085e+01,1.430250000000000021e+01,1.416000000000000369e+01,1.406000000000000050e+01,1.407652173913043114e+01,1.395636363636364052e+01,1.369500000000000028e+01,1.349000000000000021e+01,1.352636363636363548e+01
1.116000000000000014e+01,2.000000000000000389e-02,1.035500000000000220e+01,1.392409090909090885e+01,1.402227272727273011e+01,1.404217391304347906e+01,1.401956521739130679e+01,1.369999999999999574e+01,1.428560000000000230e+01,1.431000000000000050e+01,1.417730769230769461e+01,1.422192307692307800e+01,1.437285714285714100e+01,1.423178571428571182e+01,1.443333333333333890e+01,1.399344827586206819e+01,1.434483870967742014e+01,1.428548387096773631e+01,1.478000000000000114e+01,1.442030303030302996e+01,1.441454545454545233e+01,1.451575757575757564e+01,1.475852941176470523e+01,1.500058823529411711e+01,1.469000000000000128e+01,1.475823529411764845e+01,1.494666666666666899e+01,1.451882352941176535e+01,1.460374999999999979e+01,1.443117647058823572e+01,1.427749999999999986e+01,1.422064516129032263e+01,1.381709677419354598e+01,1.408241379310344321e+01,1.426200000000000045e+01,1.456642857142857039e+01,1.422928571428571232e+01,1.461000000000000121e+01,1.460111111111111093e+01,1.450478260869565261e+01,1.402999999999999758e+01,1.436000000000000298e+01,1.466434782608695286e+01,1.468625000000000114e+01,1.457090909090908859e+01,1.435714285714285410e+01,1.421809523809523945e+01,1.455380952380952664e+01,1.463000000000000078e+01,1.452476190476190432e+01
1.116000000000000014e+01,9.675000000000002487e+00,1.048909090909090658e+01,1.397142857142856975e+01,1.356000000000000050e+01,1.380545454545454476e+01,1.388090909090908731e+01,1.393391304347825610e+01,1.407000000000000028e+01,1.423416666666666686e+01,1.428120000000000367e+01,1.431538461538461249e+01,1.453923076923076785e+01,1.453107142857143330e+01,1.478107142857142620e+01,1.492133333333333844e+01,1.485448275862069245e+01,1.470062499999999872e+01,1.470199999999999996e+01,1.538499999999999979e+01,1.521333333333333471e+01,1.474878787878787811e+01,1.460636363636363733e+01,1.482352941176470651e+01,1.492647058823529349e+01,1.467470588235293860e+01,1.507823529411764873e+01,1.509941176470588253e+01,1.519121212121212317e+01,1.534058823529411875e+01,1.547687499999999972e+01,1.480499999999999972e+01,1.444093750000000043e+01,1.481482758620689388e+01,1.489806451612902904e+01,1.495482758620689978e+01,1.434999999999999787e+01,1.437500000000000178e+01,1.444230769230769518e+01,1.417999999999999794e+01,1.399159999999999826e+01,1.419720000000000049e+01,1.433347826086956545e+01,1.423173913043478755e+01,1.432727272727273160e+01,1.410000000000000320e+01,1.396363636363636118e+01,1.376999999999999957e+01,1.365500000000000291e+01,1.358727272727272783e+01
1.116000000000000014e+01,1.116000000000000014e+01,1.398199999999999932e+01,1.439875000000000149e+01,1.419571428571428662e+01,1.387863636363636033e+01,1.369166666666666821e+01,1.395304347826086477e+01,1.401875000000000249e+01,1.399000000000000021e+01,1.404769230769231037e+01,1.446407407407407497e+01,1.401777777777777878e+01,1.429833333333332845e+01,1.424571428571428200e+01,1.381724137931034768e+01,1.392322580645161878e+01,1.399937499999999879e+01,1.388874999999999993e+01,1.380575757575757656e+01,1.399363636363636232e+01,1.402941176470588225e+01,1.433999999999999986e+01,1.430599999999999916e+01,1.453382352941176769e+01,1.451060606060606162e+01,1.433714285714285808e+01,1.412500000000000000e+01,1.425121212121211833e+01,1.432030303030303031e+01,1.397437499999999844e+01,1.389999999999999858e+01,1.425354838709677985e+01,1.420333333333332959e+01,1.416586206896552191e+01,1.420071428571428740e+01,1.388107142857143117e+01,1.421185185185185063e+01,1.400999999999999979e+01,1.426159999999999783e+01,1.427239999999999931e+01,1.430000000000000426e+01,1.392999999999999972e+01,1.440142857142857480e+01,1.453333333333333321e+01,1.450761904761904653e+01,1.442200000000000060e+01,1.427636363636363370e+01,1.433999999999999631e+01,1.463142857142857167e+01
1.116000000000000014e+01,8.136000000000001009e+00,8.283000000000001251e+00,1.335608695652173594e+01,1.352999999999999758e+01,1.376863636363635912e+01,1.377260869565217050e+01,1.392363636363635848e+01,1.386359999999999815e+01,1.393608695652174312e+01,1.413370370370370921e+01,1.393799999999999883e+01,1.415923076923076884e+01,1.457035714285714612e+01,1.442857142857142883e+01,1.449137931034482918e+01,1.407499999999999929e+01,1.425548387096774405e+01,1.424387096774193573e+01,1.443937500000000007e+01,1.463878787878788046e+01,1.458545454545454589e+01,1.441470588235294237e+01,1.427205882352941124e+01,1.456250000000000000e+01,1.493171428571428905e+01,1.484999999999999964e+01,1.496999999999999709e+01,1.513705882352941146e+01,1.508818181818181792e+01,1.479727272727272691e+01,1.477999999999999936e+01,1.505193548387097024e+01,1.486322580645161651e+01,1.458699999999999797e+01,1.446034482758620321e+01,1.457999999999999652e+01,1.416285714285714015e+01,1.417384615384615820e+01,1.410076923076923094e+01,1.394400000000000084e+01,1.401999999999999957e+01,1.396260869565217000e+01,1.390608695652174021e+01,1.393090909090908980e+01,1.400000000000000000e+01,1.325999999999999801e+01,1.367142857142857260e+01,1.338545454545454305e+01,1.311818181818181905e+01
1.116000000000000014e+01,1.116000000000000014e+01,1.389999999999999858e+01,1.398999999999999844e+01,1.435047619047619172e+01,1.443826086956521237e+01,1.400608695652173807e+01,1.345291666666666686e+01,1.376583333333333314e+01,1.417208333333333314e+01,1.443370370370370281e+01,1.421846153846153804e+01,1.390714285714285481e+01,1.384857142857142698e+01,1.416666666666666252e+01,1.412482758620689793e+01,1.401161290322580300e+01,1.393258064516128769e+01,1.401787878787878761e+01,1.364999999999999858e+01,1.391030303030303017e+01,1.410529411764705721e+01,1.435878787878787932e+01,1.421029411764705763e+01,1.434657142857143164e+01,1.436999999999999922e+01,1.428393939393939327e+01,1.427088235294117524e+01,1.385363636363636353e+01,1.374333333333333229e+01,1.366848484848484802e+01,1.392200000000000060e+01,1.385161290322580996e+01,1.400800000000000445e+01,1.422266666666666701e+01,1.384851851851851556e+01,1.384857142857142875e+01,1.397357142857143231e+01,1.423583333333333201e+01,1.439359999999999928e+01,1.434400000000000119e+01,1.441666666666666607e+01,1.410000000000000320e+01,1.411999999999999922e+01,1.402608695652173942e+01,1.429272727272726939e+01,1.450799999999999912e+01,1.462545454545453971e+01,1.477999999999999581e+01,1.455272727272726563e+01
