-2.459581870004985404e-01,6.777583065730746759e-01,-3.560634882778264121e-01,-1.127356191291229992e+00,-1.259100238982886477e+00,1.054244988636714231e+00
-2.454887321491270313e-01,6.815208079944974351e-01,-3.493829612799450590e-01,-1.126878339399287166e+00,-1.260135421987281346e+00,1.051367979684970422e+00
-2.454303008900069472e-01,6.853349786880544858e-01,-3.425994145945920888e-01,-1.126065345419712260e+00,-1.261384616436346695e+00,1.048539110070098035e+00
-2.457803104726465904e-01,6.891299524064543602e-01,-3.358389134551684752e-01,-1.124937373655549688e+00,-1.262825521337192169e+00,1.045811932998202742e+00
-2.465287089577792301e-01,6.928353461370708732e-01,-3.292271935830048957e-01,-1.123520133066240323e+00,-1.264431935087527714e+00,1.043238346087318913e+00
-2.476584172483704549e-01,6.963825312953370039e-01,-3.228873578612760920e-01,-1.121844054136861946e+00,-1.266174194513757012e+00,1.040867546821957701e+00
-2.491458664793926303e-01,6.997058695108525628e-01,-3.169376071734579803e-01,-1.119943433861564586e+00,-1.268019707571848453e+00,1.038745026835207419e+00
-2.509616068401889777e-01,7.027438952901473579e-01,-3.114890426484491215e-01,-1.117855584226516319e+00,-1.269933571355863045e+00,1.036911629644498012e+00
-2.530709667805055574e-01,7.054404276935037910e-01,-3.066435779675393825e-01,-1.115620013258600718e+00,-1.271879263012648975e+00,1.035402695719508381e+00
-2.554347450690812593e-01,7.077455928533515905e-01,-3.024920015951304553e-01,-1.113277660291244864e+00,-1.273819387415083382e+00,1.034247317246012710e+00
-2.580099219552565160e-01,7.096167389939318504e-01,-2.991122292722281362e-01,-1.110870199234437417e+00,-1.275716462271789808e+00,1.033467722658190313e+00
-2.607503794155530130e-01,7.110192259056570263e-01,-2.965677863257765168e-01,-1.108439415920518423e+00,-1.277533718988721256e+00,1.033078807947976019e+00
-2.636076239043259051e-01,7.119270718601145020e-01,-2.949065568494984024e-01,-1.106026658550762765e+00,-1.279235896235156433e+00,1.033087827955917470e+00
-2.665315079913614937e-01,7.123234429064305706e-01,-2.941598323284619898e-01,-1.103672354312980053e+00,-1.280790002919724113e+00,1.033494256382127885e+00
-2.694709496367497792e-01,7.122009724193908431e-01,-2.943416857760370320e-01,-1.101415580691047946e+00,-1.282166028182500694e+00,1.034289818267878136e+00
-2.723746495457364247e-01,7.115619025801280806e-01,-2.954486891633152368e-01,-1.099293677042993966e+00,-1.283337577998610035e+00,1.035458693394596175e+00
-2.751918080173476611e-01,7.104180439297212990e-01,-2.974599823356010031e-01,-1.097341880771316447e+00,-1.284282420923467338e+00,1.036977883694524261e+00
-2.778728429277474987e-01,7.087905539097029139e-01,-3.003376914065873926e-01,-1.095592972826975986e+00,-1.284982929176210709e+00,1.038817732672068006e+00
-2.803701099674205111e-01,7.067095400058607257e-01,-3.040276845697269525e-01,-1.094076919261294245e+00,-1.285426405395928562e+00,1.040942580309911936e+00
-2.826386249921313265e-01,7.042134973702873779e-01,-3.084606441160946400e-01,-1.092820498872415280e+00,-1.285605289737445256e+00,1.043311533260754764e+00
-2.846367863821157584e-01,7.013485943110568943e-01,-3.135534258130086016e-01,-1.091846911428337785e+00,-1.285517246233831123e+00,1.045879327517229340e+00
-2.863270926898735524e-01,6.981678216286714145e-01,-3.192106710716209328e-01,-1.091175366186183160e+00,-1.285165131311980069e+00,1.048597259326896181e+00
-2.876768476891857773e-01,6.947300234063049640e-01,-3.253266336441023032e-01,-1.090820656137504452e+00,-1.284556850829349450e+00,1.051414159885067257e+00
-2.886588413598554226e-01,6.910988276327533208e-01,-3.317871808077759166e-01,-1.090792729243752479e+00,-1.283705114887537579e+00,1.054277390198760100e+00
-2.892519915584896850e-01,6.873414951760202785e-01,-3.384719287625848061e-01,-1.091096273521670934e+00,-1.282627101912421796e+00,1.057133834285587826e+00
-2.894419274067452363e-01,6.835277054285309184e-01,-3.452564727965090619e-01,-1.091730337820871144e+00,-1.281344045058470549e+00,1.059930871307227518e+00
-2.892214921149420803e-01,6.797282967275364296e-01,-3.520146741205620877e-01,-1.092688014119761908e+00,-1.279880754918262697e+00,1.062617310066344301e+00
-2.885911404482275344e-01,6.760139796946201818e-01,-3.586209666458328726e-01,-1.093956209761943299e+00,-1.278265092839980577e+00,1.065144272250715396e+00
-2.875592047642525628e-01,6.724540421263708323e-01,-3.649526479999247730e-01,-1.095515538886577378e+00,-1.276527408930214991e+00,1.067466013651206413e+00
-2.861420039271083127e-01,6.691150650693723501e-01,-3.708921195683212435e-01,-1.097340361038666723e+00,-1.274699958108944209e+00,1.069540675121644302e+00
