4,4,6,6,8,8,10,10,12,12,14,14,16,16,18,18,20,5
4.0288,2.5221,2.3178,2.207,2.1494,1.9663,1.9678,1.7303,1.6183,1.5157,1.514,1.3759,1.3311,1.2544,1.3877,1.3197,1.2827,0.16239
